Structure from extended XYZ

3200 atoms
2 atom types

0.0000000000 139.3709716797 xlo xhi
0.0000000000 120.6987927455 ylo yhi
0.0000000000 20.7558555603 zlo zhi
-69.6855019119 0.0000000000 0.0000000000 xy xz yz

Masses

1 51.996000 # Cr
2 126.904000 # I

Atoms # spin

97 1     -22.0609462849      97.2260395028       6.9186187207   0.650   0.045   0.758   3.000
98 1     -25.5452222167     103.2609805884       6.9186187207  -0.766   0.111   0.633   3.000
99 1     -29.0294981485     109.2959216741       6.9186187207   0.858   0.250  -0.449   3.000
100 1     -32.5137740804     115.3308627598       6.9186187207   0.138  -0.491  -0.860   3.000
101 1      40.6560029227       0.6670061513       6.9186187207   0.842  -0.467   0.272   3.000
102 1      37.1717278271       6.7019457885       6.9186187207  -0.243   0.426  -0.871   3.000
103 1      33.6874529406      12.7368850637       6.9186187207  -0.039   0.565   0.824   3.000
104 1      30.2031774965      18.7718253045       6.9186187207  -0.847  -0.392  -0.359   3.000
105 1      26.7189026100      24.8067645797       6.9186187207   0.571   0.463   0.677   3.000
106 1      23.2346266782      30.8417056653       6.9186187207  -0.590   0.357  -0.724   3.000
107 1      19.7503528369      36.8766431300       6.9186187207   0.712   0.073  -0.698   3.001
108 1      16.2660769051      42.9115842157       6.9186187207  -0.857  -0.132   0.499   3.000
109 1      12.7818030638      48.9465216804       6.9186187207  -0.387  -0.585  -0.713   3.000
110 1       9.2975271320      54.9814627660       6.9186187207  -0.878  -0.124   0.462   3.000
111 1       5.8132532908      61.0164002307       6.9186187207  -0.091   0.046   0.995   3.000
112 1       2.3289773589      67.0513413164       6.9186187207   0.199  -0.879  -0.434   3.000
113 1      -1.1552985729      73.0862824021       6.9186187207  -0.369  -0.591  -0.717   3.000
114 1      -4.6395745047      79.1212234877       6.9186187207  -0.387  -0.163  -0.908   3.000
115 1      -8.1238504365      85.1561645734       6.9186187207  -0.263  -0.664  -0.700   3.000
116 1     -11.6081221872      91.1910984171       6.9186187207  -0.604   0.674  -0.425   3.000
117 1     -15.0923981190      97.2260395028       6.9186187207  -0.051   0.137   0.989   3.000
118 1     -18.5766740508     103.2609805884       6.9186187207   0.484   0.430  -0.762   3.000
119 1     -22.0609499827     109.2959216741       6.9186187207  -0.866  -0.051   0.498   3.001
120 1     -25.5452259145     115.3308627598       6.9186187207  -0.489   0.756   0.435   3.000
121 1      47.6245531791       0.6670061513       6.9186187207  -0.505   0.694   0.513   3.000
122 1      44.1402780835       6.7019457885       6.9186187207   0.046   0.146   0.988   3.000
123 1      40.6560031970      12.7368850637       6.9186187207   0.808   0.274  -0.522   3.000
124 1      37.1717277530      18.7718253045       6.9186187207  -0.392   0.598  -0.699   3.000
125 1      33.6874528664      24.8067645797       6.9186187207   0.905  -0.233  -0.355   3.000
126 1      30.2031769346      30.8417056653       6.9186187207   0.262  -0.517  -0.815   3.000
127 1      26.7189030934      36.8766431300       6.9186187207   0.081  -0.310  -0.947   3.000
128 1      23.2346271615      42.9115842157       6.9186187207   0.405  -0.478   0.780   3.000
129 1      19.7503533203      48.9465216804       6.9186187207  -0.927   0.231  -0.295   3.000
130 1      16.2660773885      54.9814627660       6.9186187207   0.850   0.394   0.350   3.000
131 1      12.7818035472      61.0164002307       6.9186187207   0.450   0.759  -0.471   3.000
132 1       9.2975276154      67.0513413164       6.9186187207  -0.391   0.135  -0.911   3.000
133 1       5.8132516836      73.0862824021       6.9186187207  -0.168   0.899   0.405   3.000
134 1       2.3289757517      79.1212234877       6.9186187207   0.419   0.157   0.894   3.000
135 1      -1.1553001801      85.1561645734       6.9186187207  -0.555  -0.798  -0.233   3.000
136 1      -4.6395719308      91.1910984171       6.9186187207  -0.832  -0.555  -0.016   3.000
137 1      -8.1238478626      97.2260395028       6.9186187207  -0.095  -0.128   0.987   3.000
138 1     -11.6081237944     103.2609805884       6.9186187207   0.100   0.695   0.712   3.000
139 1     -15.0923997262     109.2959216741       6.9186187207  -0.248  -0.945  -0.214   3.000
140 1     -18.5766756581     115.3308627598       6.9186187207   0.631  -0.506   0.588   3.000
141 1      54.5930992544       0.6670061513       6.9186187207   0.070  -0.569  -0.819   2.999
142 1      51.1088241588       6.7019457885       6.9186187207  -0.330  -0.528  -0.782   3.000
143 1      47.6245492723      12.7368850637       6.9186187207   0.869   0.276  -0.410   3.000
144 1      44.1402738283      18.7718253045       6.9186187207   0.830  -0.330   0.449   3.000
145 1      40.6559989417      24.8067645797       6.9186187207  -0.987   0.158  -0.041   3.000
146 1      37.1717230099      30.8417056653       6.9186187207   0.294   0.884  -0.364   3.000
147 1      33.6874491687      36.8766431300       6.9186187207  -0.916   0.312  -0.252   3.000
148 1      30.2031732368      42.9115842157       6.9186187207  -0.641  -0.717  -0.275   3.000
149 1      26.7188993956      48.9465216804       6.9186187207   0.805  -0.429   0.410   3.000
150 1      23.2346234638      54.9814627660       6.9186187207   0.850   0.309  -0.427   3.000
151 1      19.7503496225      61.0164002307       6.9186187207   0.912  -0.410  -0.016   3.000
152 1      16.2660736907      67.0513413164       6.9186187207   0.741   0.671  -0.008   3.000
153 1      12.7817977589      73.0862824021       6.9186187207   0.854  -0.445   0.270   3.001
154 1       9.2975218270      79.1212234877       6.9186187207   0.778  -0.483   0.401   3.000
155 1       5.8132458952      85.1561645734       6.9186187207   0.494   0.704   0.510   2.999
156 1       2.3289741445      91.1910984171       6.9186187207   0.556  -0.201  -0.807   3.000
157 1      -1.1553017873      97.2260395028       6.9186187207   0.626   0.374  -0.684   2.999
158 1      -4.6395777191     103.2609805884       6.9186187207   0.048   0.981  -0.187   3.000
159 1      -8.1238536509     109.2959216741       6.9186187207   0.097  -0.952   0.289   3.000
160 1     -11.6081295827     115.3308627598       6.9186187207  -0.543   0.355   0.761   3.000
161 1      61.5616495109       0.6670061513       6.9186187207  -0.022   0.724  -0.689   3.000
162 1      58.0773744153       6.7019457885       6.9186187207  -0.255  -0.672  -0.695   2.999
163 1      54.5930995287      12.7368850637       6.9186187207  -0.638   0.579   0.508   3.000
164 1      51.1088240847      18.7718253045       6.9186187207   0.112   0.789   0.604   3.000
165 1      47.6245491982      24.8067645797       6.9186187207  -0.610   0.674  -0.416   3.000
166 1      44.1402732664      30.8417056653       6.9186187207   0.935   0.356  -0.012   2.999
167 1      40.6559994251      36.8766431300       6.9186187207  -0.098  -0.577   0.811   3.000
168 1      37.1717234933      42.9115842157       6.9186187207   0.213   0.773  -0.597   3.000
169 1      33.6874496520      48.9465216804       6.9186187207  -0.612  -0.555  -0.563   3.000
170 1      30.2031737202      54.9814627660       6.9186187207   0.550   0.709  -0.441   3.000
171 1      26.7188998789      61.0164002307       6.9186187207   0.641  -0.736  -0.216   3.000
172 1      23.2346239471      67.0513413164       6.9186187207  -0.833   0.095  -0.545   3.000
173 1      19.7503480153      73.0862824021       6.9186187207   0.993   0.116   0.010   3.001
174 1      16.2660720835      79.1212234877       6.9186187207  -0.284   0.933   0.223   3.000
175 1      12.7817961517      85.1561645734       6.9186187207   0.273  -0.343  -0.899   3.000
176 1       9.2975244010      91.1910984171       6.9186187207  -0.154   0.965  -0.212   3.000
177 1       5.8132484692      97.2260395028       6.9186187207  -0.953   0.166  -0.253   3.000
178 1       2.3289725373     103.2609805884       6.9186187207  -0.375   0.925  -0.070   2.999
179 1      -1.1553033945     109.2959216741       6.9186187207   0.221   0.895  -0.387   3.000
180 1      -4.6395793263     115.3308627598       6.9186187207   0.872   0.489  -0.034   3.000
181 1      68.5301955862       0.6670061513       6.9186187207   0.317   0.584   0.747   3.000
182 1      65.0459204906       6.7019457885       6.9186187207  -0.832  -0.518   0.198   3.000
183 1      61.5616456040      12.7368850637       6.9186187207  -0.318  -0.934  -0.160   3.000
184 1      58.0773701600      18.7718253045       6.9186187207  -0.768  -0.401  -0.499   3.000
185 1      54.5930952735      24.8067645797       6.9186187207   0.529  -0.619   0.580   3.000
186 1      51.1088193417      30.8417056653       6.9186187207  -0.086   0.351  -0.933   3.000
187 1      47.6245455004      36.8766431300       6.9186187207  -0.082  -0.984  -0.159   3.000
188 1      44.1402695686      42.9115842157       6.9186187207   0.733  -0.429  -0.527   2.999
189 1      40.6559957273      48.9465216804       6.9186187207   0.209   0.176   0.962   3.000
190 1      37.1717197955      54.9814627660       6.9186187207  -0.453   0.717   0.530   3.000
191 1      33.6874459543      61.0164002307       6.9186187207   0.342   0.441   0.830   3.000
192 1      30.2031700224      67.0513413164       6.9186187207  -0.638   0.603   0.479   3.000
193 1      26.7188940906      73.0862824021       6.9186187207   0.006   0.782   0.623   3.000
194 1      23.2346181588      79.1212234877       6.9186187207  -0.962   0.230   0.147   3.000
195 1      19.7503422270      85.1561645734       6.9186187207  -0.359  -0.031   0.933   3.000
196 1      16.2660704763      91.1910984171       6.9186187207  -0.952  -0.085   0.294   3.000
197 1      12.7817945445      97.2260395028       6.9186187207   0.962   0.153  -0.225   3.000
198 1       9.2975186126     103.2609805884       6.9186187207  -0.809  -0.269  -0.522   3.000
199 1       5.8132426808     109.2959216741       6.9186187207  -0.212   0.973  -0.090   2.999
200 1       2.3289667490     115.3308627598       6.9186187207  -0.894  -0.321   0.313   3.000
201 1      75.4987416615       0.6670061513       6.9186187207   0.679  -0.166   0.715   3.000
202 1      72.0144665659       6.7019457885       6.9186187207   0.394   0.598   0.698   3.000
203 1      68.5301916794      12.7368850637       6.9186187207   0.814   0.035   0.579   3.000
204 1      65.0459162353      18.7718253045       6.9186187207  -0.278  -0.874   0.398   3.000
205 1      61.5616413488      24.8067645797       6.9186187207  -0.893   0.357  -0.273   3.000
206 1      58.0773654170      30.8417056653       6.9186187207   0.452   0.867   0.212   3.000
207 1      54.5930915757      36.8766431300       6.9186187207   0.745  -0.657  -0.120   3.000
208 1      51.1088156439      42.9115842157       6.9186187207   0.252  -0.155   0.955   3.000
209 1      47.6245418026      48.9465216804       6.9186187207  -0.544   0.817   0.190   3.000
210 1      44.1402658708      54.9814627660       6.9186187207   0.395  -0.917  -0.061   3.000
211 1      40.6559920296      61.0164002307       6.9186187207  -0.055   0.883  -0.467   3.000
212 1      37.1717160977      67.0513413164       6.9186187207  -0.891   0.403   0.210   3.000
213 1      33.6874401659      73.0862824021       6.9186187207   0.289   0.361   0.886   3.000
214 1      30.2031642341      79.1212234877       6.9186187207  -0.364   0.921   0.136   3.000
215 1      26.7188883023      85.1561645734       6.9186187207   0.504  -0.444   0.741   3.000
216 1      23.2346165516      91.1910984171       6.9186187207   0.093   0.909   0.407   3.000
217 1      19.7503406198      97.2260395028       6.9186187207   0.517  -0.134   0.846   3.000
218 1      16.2660646879     103.2609805884       6.9186187207   0.713  -0.157   0.684   3.000
219 1      12.7817887561     109.2959216741       6.9186187207   0.276  -0.461  -0.844   3.000
220 1       9.2975128243     115.3308627598       6.9186187207   0.469  -0.658  -0.590   3.000
221 1      82.4672919179       0.6670061513       6.9186187207  -0.066   0.764  -0.642   3.000
